3.966122e+00 1.000000e+00 4.387669e-01 6.800000e-01
2.110000e-02 4.371827e+01 2.053300e+02 1.000000e+20
2.340000e-02 4.066907e+01 4.607000e+01 1.000000e+20
2.580000e-02 3.787357e+01 9.488000e+01 1.000000e+20
2.850000e-02 3.512482e+01 3.386000e+01 1.000000e+20
3.150000e-02 3.248005e+01 1.154900e+02 5.002000e+01
3.490000e-02 2.991309e+01 8.103000e+01 4.598000e+01
3.850000e-02 2.760134e+01 3.646000e+01 4.209000e+01
4.260000e-02 2.537713e+01 4.906000e+01 3.836000e+01
4.710000e-02 2.333401e+01 2.020000e+00 3.204000e+01
5.200000e-02 2.148133e+01 -3.610000e+01 3.132000e+01
5.750000e-02 1.976184e+01 4.110000e+01 2.789000e+01
6.350000e-02 1.822173e+01 -3.660000e+00 2.456000e+01
7.020000e-02 1.681503e+01 3.327000e+01 2.162000e+01
7.759999e-02 1.537893e+01 -9.100000e-01 2.040000e+01
8.570000e-02 1.400522e+01 3.702000e+01 1.877000e+01
9.480000e-02 1.283330e+01 -7.300000e+00 1.692000e+01
1.047000e-01 1.186597e+01 1.241000e+01 1.527000e+01
1.157000e-01 1.105041e+01 5.450000e+00 1.464000e+01
1.279000e-01 1.036573e+01 -7.320000e+00 1.230000e+01
1.414000e-01 9.792435e+00 1.059000e+01 1.065000e+01
1.562000e-01 9.315950e+00 1.445000e+01 9.990000e+00
1.726000e-01 8.914473e+00 1.752000e+01 9.700000e+00
1.908000e-01 8.573921e+00 1.041000e+01 8.460000e+00
2.109000e-01 8.283803e+00 -3.190000e+00 7.580000e+00
2.330000e-01 8.034359e+00 9.360000e+00 6.530000e+00
2.576000e-01 7.812229e+00 1.000000e+00 5.650000e+00
2.846000e-01 7.612052e+00 3.420000e+00 5.900000e+00
3.146000e-01 7.423600e+00 8.850000e+00 4.920000e+00
3.477000e-01 7.242272e+00 1.540000e+01 4.450000e+00
3.842000e-01 7.063519e+00 8.940000e+00 4.430000e+00
4.246000e-01 6.883202e+00 7.510000e+00 3.540000e+00
4.693000e-01 6.698353e+00 9.690000e+00 3.390000e+00
5.187000e-01 6.506597e+00 9.270000e+00 3.340000e+00
5.732000e-01 6.306417e+00 3.540000e+00 2.670000e+00
6.335000e-01 6.096265e+00 6.070000e+00 2.690000e+00
7.001000e-01 5.876949e+00 8.850000e+00 2.500000e+00
7.738000e-01 5.646682e+00 2.960000e+00 1.990000e+00
8.551000e-01 5.395503e+00 5.820000e+00 1.910000e+00
9.450999e-01 5.134915e+00 4.690000e+00 1.890000e+00
1.044500e+00 4.865446e+00 8.310000e+00 1.810000e+00
1.154300e+00 4.587408e+00 5.670000e+00 1.460000e+00
1.275700e+00 4.301460e+00 5.920000e+00 1.370000e+00
1.409900e+00 4.009159e+00 3.520000e+00 1.220000e+00
1.558100e+00 3.712937e+00 2.510000e+00 1.090000e+00
1.722000e+00 3.415199e+00 2.270000e+00 1.000000e+00
1.903100e+00 3.119690e+00 2.360000e+00 8.900000e-01
